,period_d,rp_re,insol_eflux,eq_temp,teff_k,logg_cgs,rstar_rsun,ra_deg,dec_deg,mission,label,star_key
2751,4.2102425,8.4263554,155.5183712,900.6689155,4927.6,4.52,0.816613,195.312675,58.419067,TESS,,195.31268_58.41907
2752,3.4843271,15.9782,1741.71,1799.0,7250.0,4.26,1.57,115.680423,1.361299,TESS,,115.68042_1.3613
2753,13.1147744,9.79059,95.9399,871.0,5496.1,4.04,1.54,67.278845,-1.909532,TESS,,67.27884_-1.90953
2754,3.5985851,11.8109,1318.02,1678.0,6303.0,4.21,1.45,114.263688,6.716773,TESS,,114.26369_6.71677
2755,4.5815438,15.1889,290.593,1150.0,5525.0,4.37,1.07,336.709476,-39.789358,TESS,,336.70948_-39.78936
2756,4.4817684,19.0204,277.661,1137.0,6734.0,4.41,1.25,232.809527,79.267227,TESS,,232.80953_79.26723
2757,3.1711207,13.924729,1369.1513607,1551.4315362,6140.0,4.18,1.45618,153.799642,72.010236,TESS,,153.79964_72.01024
2758,3.8229149,13.5313,598.34,1377.0,6166.4,4.34,1.21,83.653961,30.406374,TESS,,83.65396_30.40637
2759,3.7494409,13.2544,1186.51,1635.0,7899.0,4.16,1.89,112.022979,-34.343112,TESS,,112.02298_-34.34311
2760,3.4580018,14.7324849,1028.4855924,1444.3395468,6427.8,4.35,1.2663,68.052102,52.252655,TESS,,68.0521_52.25266
2761,3.5838508,12.4141,409.771,1253.0,5450.0,4.35,1.08,65.854872,-10.471779,TESS,,65.85487_-10.47178
2762,3.0183134,9.10865,388.439,,5238.0,,0.93,277.291791,48.059938,TESS,,277.29179_48.05994
2763,4.6965638,16.2589,459.903,1290.0,6502.7,4.25,1.43,125.108796,7.588913,TESS,,125.1088_7.58891
2764,9.5835608,12.6233,372.192,1223.0,5781.0,3.89,1.91,125.421468,6.334945,TESS,,125.42147_6.33494
