,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2
1627,7.34672485,8.264e-05,-8.264e-05,134.5155,0.0108,-0.0108,0.2525,0.1849,-0.2525,2.136,0.293,-0.293,143.0,18.5,-18.5,0.97,0.28,-0.06,784.0,89.33,82.58,-19.03,10.1,5271.0,185.0,-148.0,4.578,0.019,-0.019,0.821,0.242,-0.05
1628,6.933574,0.0001199,-0.0001199,134.558,0.0143,-0.0143,0.05,0.401,-0.05,2.43,0.543,-0.543,276.7,49.4,-49.4,1.3,0.25,-0.1,829.0,111.53,64.69,-28.36,8.0,5510.0,149.0,-166.0,4.584,0.034,-0.127,0.793,0.152,-0.065
1629,0.673141323,2.141e-06,-2.141e-06,131.68751,0.0026,-0.0026,0.1065,0.3486,-0.1064,0.921,0.112,-0.112,229.5,25.1,-25.1,1.29,0.44,-0.09,1834.0,2675.15,2685.11,-594.1,10.5,5461.0,156.0,-143.0,4.552,0.025,-0.025,0.858,0.29,-0.06
1630,8.60965352,7.02e-05,-7.02e-05,134.38829,0.00653,-0.00653,0.213,0.245,-0.213,2.218,0.225,-0.225,63.2,7.9,-7.9,3.33,0.61,-2.47,1550.0,1365.41,838.61,-1285.19,9.9,5418.0,191.0,-171.0,3.447,0.884,-0.156,4.233,0.785,-3.139
1631,13.8911152,0.0002016,-0.0002016,137.3481,0.0105,-0.0105,0.168,0.284,-0.168,5.062,0.372,-0.372,204.9,23.8,-23.8,1.12,0.18,-0.14,674.0,48.8,25.5,-15.91,10.3,5472.0,179.0,-163.0,4.499,0.115,-0.115,0.79,0.124,-0.101
1632,6.76890076,7.379e-05,-7.379e-05,133.07724,0.00844,-0.00844,0.15,0.305,-0.15,3.616,0.306,-0.306,123.1,13.2,-13.2,1.24,0.34,-0.23,1017.0,253.3,204.89,-103.87,10.8,5737.0,154.0,-171.0,4.327,0.153,-0.187,1.125,0.31,-0.207
1633,1.96134311,1.126e-05,-1.126e-05,132.30563,0.00488,-0.00488,1.159,0.263,-0.111,11.856,0.359,-0.359,207.8,4.5,-4.5,41.53,7.99,-9.77,2167.0,5197.02,2550.73,-2310.66,59.5,6221.0,74.0,-80.0,3.935,0.18,-0.12,2.198,0.423,-0.517
1634,486.77832,0.0197,-0.0197,529.0865,0.0245,-0.0245,0.1737,0.3112,-0.1736,15.29,1.3,-1.3,370.8,38.7,-38.7,9.3,0.57,-2.36,409.0,6.6,1.45,-3.29,10.4,5039.0,103.0,-131.0,3.295,0.032,-0.032,4.95,0.302,-1.256
1635,28.2682167,0.0004556,-0.0004556,135.5505,0.0135,-0.0135,0.5643,0.0139,-0.4888,1.355,0.551,-0.551,197.0,52.1,-52.1,1.22,0.47,-0.09,526.0,18.12,21.38,-4.12,6.0,5496.0,168.0,-152.0,4.564,0.024,-0.024,0.838,0.327,-0.059
1636,1.6037058,2.591e-05,-2.591e-05,131.9529,0.0184,-0.0184,0.729,0.228,-0.483,9.067,0.784,-0.784,32.8,2.0,-2.0,1.54,0.37,-0.33,2492.0,9138.09,5555.35,-3791.05,22.4,6400.0,76.0,-76.0,3.877,0.165,-0.135,2.512,0.599,-0.544
1637,0.70965042,3.545e-05,-3.545e-05,131.97695,0.00567,-0.00567,0.145,0.323,-0.145,1.318,0.205,-0.205,223.4,31.0,-31.0,1.49,0.4,-0.27,2036.0,4086.46,3316.23,-1646.68,9.4,5618.0,169.0,-169.0,4.373,0.153,-0.187,1.002,0.269,-0.179
1638,3.62657392,2.486e-05,-2.486e-05,133.57658,0.00617,-0.00617,0.306,0.154,-0.306,1.791,0.198,-0.198,98.5,11.3,-11.3,0.79,0.16,-0.07,1014.0,250.0,153.91,-64.5,10.7,5416.0,161.0,-161.0,4.579,0.034,-0.136,0.8,0.159,-0.068
1639,0.902403563,2.31e-07,-2.31e-07,131.827273,0.000205,-0.000205,0.8925,0.0064,-0.0096,1.7129,0.027,-0.027,4759.5,36.9,-36.9,6.17,2.59,-0.41,1688.0,1919.35,2407.97,-410.85,220.3,5776.0,161.0,-148.0,4.599,0.029,-0.029,0.755,0.318,-0.05
