,star_key
453,298.21188_44.32464
454,293.56815_39.03632
455,293.56815_39.03632
456,290.0004_38.53989
458,292.04462_37.37624
460,290.32791_37.72674
461,292.89935_37.65606
462,288.4165_41.0298
463,295.51108_44.10926
464,290.5036_44.14358
466,291.27563_47.32949
467,299.70078_47.29175
468,297.39066_47.25571
469,284.99738_44.4102
470,296.29196_44.33226
471,301.47577_44.31976
472,282.72406_44.34647
474,296.30762_44.21146
476,297.00943_50.37232
479,284.68887_46.17225
480,298.07944_44.74632
481,299.65094_40.97328
482,292.26291_37.23699
483,291.69672_37.23804
484,291.15338_36.67884
485,291.35403_36.78452
486,289.71466_47.34222
487,291.14807_40.6694
488,299.83041_47.15746
489,299.83041_47.15746
490,299.83041_47.15746
491,296.33435_47.14558
492,299.13922_40.94902
493,292.85965_44.20064
494,285.62854_44.31089
495,291.89075_44.22373
496,285.39133_46.18094
497,294.79974_46.20757
498,297.9516_46.26472
499,297.9516_46.26472
500,296.65915_46.38217
501,297.62027_40.94309
502,300.45575_43.93435
503,293.38556_41.34982
504,299.89722_43.90391
505,289.09689_44.00438
506,297.78802_47.10107
507,292.14447_47.15735
508,292.14447_47.15735
509,292.14447_47.15735
510,282.2001_44.4223
511,282.2001_44.4223
513,281.76639_44.29255
514,283.00296_44.28423
515,283.00296_44.28423
517,287.56967_46.56786
519,290.06799_46.57914
520,294.06848_46.57933
521,298.07944_44.74632
522,289.09689_44.00438
523,295.4722_44.07738
525,297.49332_44.05187
527,297.39319_47.16463
528,290.10333_39.78163
529,294.59613_47.19745
530,281.05011_47.18815
531,283.1846_47.15567
532,293.24384_38.27327
534,296.69562_47.32731
535,296.32028_47.40657
536,292.83301_47.49553
537,281.5238_47.75534
538,294.06848_46.57933
539,297.84241_46.57427
540,297.84241_46.57427
541,297.84241_46.57427
542,297.84241_46.57427
543,297.84241_46.57427
544,292.93085_37.60664
545,287.13388_37.83926
546,292.26813_37.95564
547,291.85382_37.74192
548,291.90326_37.90229
549,298.07944_44.74632
550,290.63943_38.28463
551,294.4335_38.35545
552,294.4335_38.35545
553,290.862_38.35358
554,286.00031_38.2846
555,293.02512_37.99264
556,292.84213_47.48383
557,296.69971_47.40673
558,297.01483_47.48643
559,287.65363_47.41481
561,286.48227_46.69245
562,286.97119_46.86836
563,299.09753_43.49759
566,291.10846_37.85779
568,292.29099_37.5808
571,296.52429_39.24976
572,292.58304_38.37438
573,293.18454_37.96984
574,290.89407_38.43503
575,296.98102_43.20975
578,288.86823_47.75943
579,291.30222_47.69776
580,289.4317_46.61753
581,283.86603_46.78959
584,287.55972_46.95708
585,295.47067_44.01074
586,297.82956_41.14195
588,297.52545_41.26184
589,291.98337_41.55511
591,292.85608_38.37257
592,291.57916_38.03583
593,289.76483_38.35236
595,290.41327_38.34375
596,291.30222_47.69776
597,292.73892_47.49073
598,291.06293_47.4848
599,291.06293_47.4848
601,297.13327_47.62877
602,292.21906_44.61916
603,292.21906_44.61916
604,294.41245_45.13085
605,292.21906_44.61916
606,288.49948_47.99647
607,290.11569_38.40419
608,299.26038_41.42023
609,295.16049_41.0793
610,298.47424_41.07589
611,297.52863_41.25991
612,298.33893_41.07348
613,298.20035_41.01169
614,286.41_42.68155
615,286.41_42.68155
616,286.41_42.68155
617,295.3045_42.47529
618,283.20917_48.77764
619,283.20917_48.77764
620,287.85773_48.77411
623,294.21893_49.47922
628,291.3909_48.06561
629,291.3909_48.06561
630,290.67615_48.29429
631,290.67615_48.29429
632,290.67615_48.29429
636,295.76614_42.42428
637,295.76614_42.42428
638,283.03979_48.82536
639,283.03979_48.82536
640,283.03979_48.82536
641,283.20697_48.5805
642,287.14944_42.10521
644,292.23724_42.15429
645,292.47821_42.14229
646,290.67615_48.29429
649,297.11511_41.90914
650,285.42429_47.83461
651,295.76614_42.42428
652,295.76614_42.42428
653,295.76614_42.42428
654,281.43735_42.72527
655,286.35806_42.40651
656,283.20697_48.5805
657,283.20697_48.5805
658,283.20697_48.5805
659,287.05701_49.04602
660,283.50479_49.45102
661,283.46991_45.05246
662,289.40573_44.51694
664,290.26767_44.71285
666,285.66269_48.43537
667,283.53296_48.09426
668,284.91049_48.43164
669,286.66568_48.14458
670,286.35806_42.40651
671,299.40701_44.03505
673,286.88727_42.47126
674,290.20236_42.95589
676,295.2887_48.59972
677,295.2887_48.59972
678,283.98297_49.23299
679,283.98297_49.23299
680,284.28253_44.98723
681,301.35507_44.49227
682,294.12143_48.34952
683,299.07388_44.43168
684,301.04239_45.02289
685,285.2211_47.88138
686,290.55237_48.12626
687,297.11511_41.90914
689,293.46902_42.82241
690,282.33279_42.46382
691,295.87634_42.36482
692,296.3999_42.3871
693,292.05478_42.33025
694,295.78595_42.84428
695,283.98297_49.23299
696,284.84662_49.6924
697,293.28827_48.81162
698,290.85178_48.52134
699,293.08447_48.57539
700,291.22519_44.92738
701,294.10818_44.7707
702,294.10818_44.7707
703,294.10818_44.7707
704,293.61743_45.0167
706,296.47937_39.12757
707,293.36285_39.21245
708,295.73193_39.58752
709,296.73502_39.1878
711,291.01358_42.28313
712,299.54376_40.86026
713,295.05429_42.75684
714,295.51068_42.93056
715,280.94385_42.83918
716,294.74207_43.53683
717,282.79764_43.57813
718,293.35129_43.13464
719,283.2413_46.37847
720,293.28156_43.05581
721,296.39639_44.96304
722,287.1749_44.87857
723,294.12143_48.34952
724,287.1749_44.87857
725,296.93393_44.85364
727,296.08185_39.16162
728,288.65359_39.66431
730,286.83487_39.76085
731,298.77338_47.78647
732,293.61121_39.41752
733,295.51068_42.93056
735,289.24817_42.56556
736,284.82272_46.01372
737,282.18439_46.00686
738,294.68027_49.14016
739,297.97922_48.55387
740,286.03635_49.61451
741,295.03461_48.88217
742,297.3916_48.56069
743,286.57483_44.7952
744,288.90857_44.64241
745,286.07523_44.66464
746,299.2749_44.55349
747,293.53415_44.97111
748,295.37079_39.17721
749,289.7261_39.27283
750,288.91644_39.59471
751,291.92065_45.24703
752,297.57349_45.2333
754,292.48694_46.19621
755,286.36188_45.55516
756,290.49307_45.2059
757,283.9368_49.11033
758,289.04999_51.41837
761,289.80521_46.49171
762,293.6413_44.65704
763,294.12143_48.34952
764,293.6413_44.65704
765,288.86734_44.61573
767,288.91644_39.59471
768,288.91644_39.59471
769,296.65308_39.32269
770,289.7439_39.2863
771,297.71185_45.26192
772,293.38663_45.87027
773,283.18909_45.36417
774,294.91586_45.78387
775,293.70905_45.28639
777,297.89658_43.56389
778,294.54739_43.53369
780,289.60382_46.31495
781,283.25681_45.08778
782,299.22162_44.69387
783,285.0361_45.07106
784,285.0361_45.07106
786,291.02014_39.22068
787,296.35867_39.11519
