koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
41.43958662,7.557e-05,-7.557e-05,0.355,0.04,-0.355,10.5989,0.088,-0.088,2793.1,22.6,-22.6,5.5,1.57,-0.96,,,16.72,14.66,-6.64,141.1,5468.0,180.0,-164.0,4.367,0.153,-0.187,1.046,0.297,-0.183,295.55505,49.017342,15.4
8.35389523,1.524e-05,-1.524e-05,0.023,0.423,-0.023,2.2514,0.0518,-0.0518,1041.6,28.2,-28.2,2.52,0.54,-0.24,,,91.9,59.06,-24.15,43.4,5592.0,152.0,-152.0,4.582,0.036,-0.144,0.787,0.169,-0.073,285.49924,49.277351,15.317
4.125543472,3.133e-06,-3.133e-06,0.597,0.235,-0.367,3.1744,0.0362,-0.0362,1487.3,13.3,-13.3,4.43,1.44,-0.51,,,565.35,542.47,-188.14,128.6,6174.0,173.0,-239.0,4.417,0.056,-0.21,1.103,0.358,-0.128,291.93616,49.253979,15.506
2.816504904,1.65e-07,-1.65e-07,0.105,0.264,-0.119,2.50587,0.00666,-0.00666,16814.0,11.0,-11.0,12.21,1.62,-0.87,,,521.13,184.34,-97.95,1406.8,5532.0,74.0,-83.0,4.452,0.063,-0.108,0.955,0.127,-0.068,297.01547,49.225288,15.052
33.93373447,6.154e-05,-6.154e-05,0.812,0.006,-0.009,14.561,0.104,-0.104,8503.7,44.3,-44.3,7.34,0.9,-0.6,,,8.11,3.25,-2.06,236.1,5040.0,136.0,-151.0,4.628,0.03,-0.07,0.705,0.086,-0.058,284.17233,49.360722,15.716
3.689920099,8.982e-06,-8.982e-06,0.151,0.304,-0.151,2.6557,0.0677,-0.0677,426.7,13.8,-13.8,1.89,0.54,-0.2,,,408.99,342.24,-123.32,35.6,5880.0,157.0,-192.0,4.518,0.046,-0.196,0.917,0.262,-0.098,291.62241,50.61824,15.242
11.37936986,2.415e-05,-2.415e-05,0.911,0.009,-0.656,2.6255,0.073,-0.073,1023.5,29.7,-29.7,3.95,0.57,-0.31,,,99.68,38.38,-19.39,37.9,5714.0,77.0,-77.0,4.428,0.063,-0.117,1.015,0.148,-0.079,295.81616,51.121738,15.367
26.39432897,5.724e-05,-5.724e-05,0.602,0.25,-0.396,3.573,0.0643,-0.0643,1510.9,36.3,-36.3,3.07,0.41,-0.22,,,13.49,6.07,-3.21,48.2,5129.0,154.0,-154.0,4.595,0.03,-0.084,0.763,0.103,-0.055,289.39972,51.25032,15.234
7.12594387,1.406e-05,-1.406e-05,0.898,0.013,-0.699,3.0014,0.0384,-0.0384,192.4,4.4,-4.4,1.79,0.26,-0.23,,,233.31,94.86,-70.6,47.1,5779.0,104.0,-115.0,4.339,0.132,-0.108,1.087,0.157,-0.142,287.88733,46.276241,12.791
7.442652004,7.02e-07,-7.02e-07,0.137,0.346,-0.224,2.3078,0.0129,-0.0129,24446.0,37.8,-37.8,15.03,4.73,-1.58,,,206.78,195.52,-61.76,835.6,6108.0,183.0,-201.0,4.469,0.07,-0.21,0.956,0.301,-0.1,288.98682,49.733742,15.27
